"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Spencer Rattler","QB","NO","75","71","70","67","62","","","","","","","","","","","","","","345","69.0"
"Dak Prescott","QB","DAL","61","89","64","69","60","","","","","","","","","","","","","","343","68.6"
"Baker Mayfield","QB","TB","58","80","72","72","61","","","","","","","","","","","","","","343","68.6"
"Bo Nix","QB","DEN","76","58","52","81","74","","","","","","","","","","","","","","341","68.2"
"Josh Allen","QB","BUF","85","65","60","59","68","","","","","","","","","","","","","","337","67.4"
"Justin Herbert","QB","LAC","65","58","86","63","61","","","","","","","","","","","","","","333","66.6"
"Trevor Lawrence","QB","JAC","66","71","70","68","58","","","","","","","","","","","","","","333","66.6"
"Bryce Young","QB","CAR","64","85","57","56","70","","","","","","","","","","","","","","332","66.4"
"Matthew Stafford","QB","LAR","60","61","66","75","68","","","","","","","","","","","","","","330","66.0"
"Patrick Mahomes II","QB","KC","61","60","72","67","64","","","","","","","","","","","","","","324","64.8"
"Juwan Johnson","TE","NO","74","68","66","60","56","","","","","","","","","","","","","","324","64.8"
"Geno Smith","QB","LV","63","70","66","52","68","","","","","","","","","","","","","","319","63.8"
"Kyler Murray","QB","ARI","66","54","66","67","65","","","","","","","","","","","","","","318","63.6"
"Garrett Wilson","WR","NYJ","64","44","69","62","77","","","","","","","","","","","","","","316","63.2"
"Daniel Jones","QB","IND","73","71","50","61","59","","","","","","","","","","","","","","314","62.8"
"Cade Otton","TE","TB","50","73","66","69","56","","","","","","","","","","","","","","314","62.8"
"Cam Ward","QB","TEN","57","66","70","50","67","","","","","","","","","","","","","","310","62.0"
"Jared Goff","QB","DET","67","56","68","56","62","","","","","","","","","","","","","","309","61.8"
"Jalen Hurts","QB","PHI","63","60","67","57","61","","","","","","","","","","","","","","308","61.6"
"Drake Maye","QB","NE","71","60","74","43","60","","","","","","","","","","","","","","308","61.6"
"George Pickens","WR","DAL","56","79","61","62","47","","","","","","","","","","","","","","305","61.0"
"Tetairoa McMillan","WR","CAR","53","72","52","65","63","","","","","","","","","","","","","","305","61.0"
"Jerry Jeudy","WR","CLE","67","64","55","55","63","","","","","","","","","","","","","","304","60.8"
"Christian McCaffrey","RB","SF","58","55","59","56","76","","","","","","","","","","","","","","304","60.8"
"Darius Slayton","WR","NYG","66","66","50","66","55","","","","","","","","","","","","","","303","60.6"
"Chris Olave","WR","NO","64","71","62","57","48","","","","","","","","","","","","","","302","60.4"
"C.J. Stroud","QB","HOU","63","49","63","71","56","","","","","","","","","","","","","","302","60.4"
"Courtland Sutton","WR","DEN","72","45","42","69","70","","","","","","","","","","","","","","298","59.6"
"David Njoku","TE","CLE","64","60","50","56","67","","","","","","","","","","","","","","297","59.4"
"Trey McBride","TE","ARI","64","50","58","64","61","","","","","","","","","","","","","","297","59.4"
"Jakobi Meyers","WR","LV","59","65","62","51","60","","","","","","","","","","","","","","297","59.4"
"Tre Tucker","WR","LV","57","64","62","51","60","","","","","","","","","","","","","","294","58.8"
"Wan'Dale Robinson","WR","NYG","52","47","51","74","69","","","","","","","","","","","","","","293","58.6"
"Justin Jefferson","WR","MIN","55","47","48","76","65","","","","","","","","","","","","","","291","58.2"
"Emeka Egbuka","WR","TB","54","74","46","64","52","","","","","","","","","","","","","","290","58.0"
"Ladd McConkey","WR","LAC","55","43","80","58","53","","","","","","","","","","","","","","289","57.8"
"Brian Thomas Jr.","WR","JAC","57","67","57","54","54","","","","","","","","","","","","","","289","57.8"
"A.J. Brown","WR","PHI","55","58","62","55","57","","","","","","","","","","","","","","287","57.4"
"Quentin Johnston","WR","LAC","53","44","75","58","55","","","","","","","","","","","","","","285","57.0"
"Sam Darnold","QB","SEA","52","65","39","66","61","","","","","","","","","","","","","","283","56.6"
"Marvin Harrison Jr.","WR","ARI","59","51","53","67","52","","","","","","","","","","","","","","282","56.4"
"Sam LaPorta","TE","DET","61","50","57","56","58","","","","","","","","","","","","","","282","56.4"
"Jameson Williams","WR","DET","65","52","62","51","51","","","","","","","","","","","","","","281","56.2"
"Davante Adams","WR","LAR","54","49","57","62","58","","","","","","","","","","","","","","280","56.0"
"Theo Johnson","TE","NYG","53","56","57","53","60","","","","","","","","","","","","","","279","55.8"
"DeVonta Smith","WR","PHI","56","45","64","52","60","","","","","","","","","","","","","","277","55.4"
"Michael Pittman Jr.","WR","IND","60","59","46","57","54","","","","","","","","","","","","","","276","55.2"
"Amon-Ra St. Brown","WR","DET","63","50","58","54","50","","","","","","","","","","","","","","275","55.0"
"Joe Flacco","QB","CLE","76","66","66","64","0","","","","","","","","","","","","","","272","68.0"
